Exif.Image.ProcessingSoftware	The name and version of the software used to post-process the picture.
Exif.Image.PreviewSettingsDigest	A unique ID of the conversion settings (for example, MD5 digest) used to render the preview stored in the IFD.
Exif.Image.PreviewColorSpace	This tag specifies the color space in which the rendered preview in this IFD is stored. The default value for this tag is sRGB for color previews and Gray Gamma 2.2 for monochrome previews.
Exif.Image.PreviewDateTime	This tag is an ASCII string containing the name of the date/time at which the preview stored in the IFD was rendered. The date/time is encoded using ISO 8601 format.
Exif.Image.RawImageDigest	This tag is an MD5 digest of the raw image data. All pixels in the image are processed in row-scan order. Each pixel is zero padded to 16 or 32 bits deep (16-bit for data less than or equal to 16 bits deep, 32-bit otherwise). The data for each pixel is processed in little-endian byte order.
Exif.Image.OriginalRawFileDigest	This tag is an MD5 digest of the data stored in the OriginalRawFileData tag.
Exif.Image.SubTileBlockSize	Normally, the pixels within a tile are stored in simple row-scan order. This tag specifies that the pixels within a tile should be grouped first into rectangular blocks of the specified size. These blocks are stored in row-scan order. Within each block, the pixels are stored in row-scan order. The use of a non-default value for this tag requires setting the DNGBackwardVersion tag to at least 1.2.0.0.
Exif.Image.RowInterleaveFactor	This tag specifies that rows of the image are stored in interleaved order. The value of the tag specifies the number of interleaved fields. The use of a non-default value for this tag requires setting the DNGBackwardVersion tag to at least 1.2.0.0.
Exif.Image.ProfileLookTableDims	This tag specifies the number of input samples in each dimension of a default 'look' table. The data for this table is stored in the ProfileLookTableData tag.
Exif.Image.ProfileLookTableData	This tag contains a default 'look' table that can be applied while processing the image as a starting point for user adjustment. This table uses the same format as the tables stored in the ProfileHueSatMapData1 and ProfileHueSatMapData2 tags, and is applied in the same color space. However, it should be applied later in the processing pipe, after any exposure compensation and/or fill light stages, but before any tone curve stage. Each entry of the table contains three 32-bit IEEE floating-point values. The first entry is hue shift in degrees, the second entry is a saturation scale factor, and the third entry is a value scale factor. The table entries are stored in the tag in nested loop order, with the value divisions in the outer loop, the hue divisions in the middle loop, and the saturation divisions in the inner loop. All zero input saturation entries are required to have a value scale factor of 1.0.
Exif.Image.OpcodeList1	Specifies the list of opcodes that should be applied to the raw image, as read directly from the file.
Exif.Image.OpcodeList2	Specifies the list of opcodes that should be applied to the raw image, just after it has been mapped to linear reference values.
Exif.Image.OpcodeList3	Specifies the list of opcodes that should be applied to the raw image, just after it has been demosaiced.
Exif.Image.NoiseProfile	NoiseProfile describes the amount of noise in a raw image. Specifically, this tag models the amount of signal-dependent photon (shot) noise and signal-independent sensor readout noise, two common sources of noise in raw images. The model assumes that the noise is white and spatially independent, ignoring fixed pattern effects and other sources of noise (e.g., pixel response non-uniformity, spatially-dependent thermal effects, etc.).
Exif.Photo.ExposureTime	Exposure time, given in seconds (sec).
Exif.Photo.FNumber	The F number.
Exif.Photo.ExposureProgram	The class of the program used by the camera to set exposure when the picture is taken.
Exif.Photo.SpectralSensitivity	Indicates the spectral sensitivity of each channel of the camera used. The tag value is an ASCII string compatible with the standard developed by the ASTM Technical Committee.
Exif.Photo.ISOSpeedRatings	Indicates the ISO Speed and ISO Latitude of the camera or input device as specified in ISO 12232.
Exif.Photo.OECF	Indicates the Opto-Electoric Conversion Function (OECF) specified in ISO 14524. <OECF> is the relationship between the camera optical input and the image values.
Exif.Photo.SensitivityType	The SensitivityType tag indicates PhotographicSensitivity tag. which one of the parameters of ISO12232 is the Although it is an optional tag, it should be recorded when a PhotographicSensitivity tag is recorded. Value = 4, 5, 6, or 7 may be used in case that the values of plural parameters are the same.
Exif.Photo.StandardOutputSensitivity	This tag indicates the standard output sensitivity value of a camera or input device defined in ISO 12232. When recording this tag, the PhotographicSensitivity and SensitivityType tags shall also be recorded.
Exif.Photo.RecommendedExposureIndex	This tag indicates the recommended exposure index value of a camera or input device defined in ISO 12232. When recording this tag, the PhotographicSensitivity and SensitivityType tags shall also be recorded.
Exif.Photo.ISOSpeed	This tag indicates the ISO speed value of a camera or input device that is defined in ISO 12232. When recording this tag, the PhotographicSensitivity and SensitivityType tags shall also be recorded.
Exif.Photo.ISOSpeedLatitudeyyy	This tag indicates the ISO speed latitude yyy value of a camera or input device that is defined in ISO 12232. However, this tag shall not be recorded without ISOSpeed and ISOSpeedLatitudezzz.
Exif.Photo.ISOSpeedLatitudezzz	This tag indicates the ISO speed latitude zzz value of a camera or input device that is defined in ISO 12232. However, this tag shall not be recorded without ISOSpeed and ISOSpeedLatitudeyyy.
Exif.Photo.ExifVersion	The version of this standard supported. Nonexistence of this field is taken to mean nonconformance to the standard.
Exif.Photo.DateTimeOriginal	The date and time when the original image data was generated. For a digital still camera the date and time the picture was taken are recorded.
Exif.Photo.DateTimeDigitized	The date and time when the image was stored as digital data.
Exif.Photo.ComponentsConfiguration	Information specific to compressed data. The channels of each component are arranged in order from the 1st component to the 4th. For uncompressed data the data arrangement is given in the <PhotometricInterpretation> tag. However, since <PhotometricInterpretation> can only express the order of Y, Cb and Cr, this tag is provided for cases when compressed data uses components other than Y, Cb, and Cr and to enable support of other sequences.
Exif.Photo.CompressedBitsPerPixel	Information specific to compressed data. The compression mode used for a compressed image is indicated in unit bits per pixel.
Exif.Photo.ShutterSpeedValue	Shutter speed. The unit is the APEX (Additive System of Photographic Exposure) setting.
Exif.Photo.ApertureValue	The lens aperture. The unit is the APEX value.
Exif.Photo.BrightnessValue	The value of brightness. The unit is the APEX value. Ordinarily it is given in the range of -99.99 to 99.99.
Exif.Photo.ExposureBiasValue	The exposure bias. The units is the APEX value. Ordinarily it is given in the range of -99.99 to 99.99.
Exif.Photo.MaxApertureValue	The smallest F number of the lens. The unit is the APEX value. Ordinarily it is given in the range of 00.00 to 99.99, but it is not limited to this range.
Exif.Photo.SubjectDistance	The distance to the subject, given in meters.
Exif.Photo.MeteringMode	The metering mode.
Exif.Photo.LightSource	The kind of light source.
Exif.Photo.Flash	This tag is recorded when an image is taken using a strobe light (flash).
Exif.Photo.FocalLength	The actual focal length of the lens, in mm. Conversion is not made to the focal length of a 35 mm film camera.
Exif.Photo.SubjectArea	This tag indicates the location and area of the main subject in the overall scene.
Exif.Photo.MakerNote	A tag for manufacturers of Exif writers to record any desired information. The contents are up to the manufacturer.
Exif.Photo.UserComment	A tag for Exif users to write keywords or comments on the image besides those in <ImageDescription>, and without the character code limitations of the <ImageDescription> tag.
Exif.Photo.SubSecTime	A tag used to record fractions of seconds for the <DateTime> tag.
Exif.Photo.SubSecTimeOriginal	A tag used to record fractions of seconds for the <DateTimeOriginal> tag.
Exif.Photo.SubSecTimeDigitized	A tag used to record fractions of seconds for the <DateTimeDigitized> tag.
Exif.Photo.FlashpixVersion	The FlashPix format version supported by a FPXR file.
Exif.Photo.ColorSpace	The color space information tag is always recorded as the color space specifier. Normally sRGB is used to define the color space based on the PC monitor conditions and environment. If a color space other than sRGB is used, Uncalibrated is set. Image data recorded as Uncalibrated can be treated as sRGB when it is converted to FlashPix.
Exif.Photo.PixelXDimension	Information specific to compressed data. When a compressed file is recorded, the valid width of the meaningful image must be recorded in this tag, whether or not there is padding data or a restart marker. This tag should not exist in an uncompressed file.
Exif.Photo.PixelYDimension	Information specific to compressed data. When a compressed file is recorded, the valid height of the meaningful image must be recorded in this tag, whether or not there is padding data or a restart marker. This tag should not exist in an uncompressed file. Since data padding is unnecessary in the vertical direction, the number of lines recorded in this valid image height tag will in fact be the same as that recorded in the SOF.
Exif.Photo.RelatedSoundFile	This tag is used to record the name of an audio file related to the image data. The only relational information recorded here is the Exif audio file name and extension (an ASCII string consisting of 8 characters + '.' + 3 characters). The path is not recorded.
Exif.Photo.InteroperabilityTag	Interoperability IFD is composed of tags which stores the information to ensure the Interoperability and pointed by the following tag located in Exif IFD. The Interoperability structure of Interoperability IFD is the same as TIFF defined IFD structure but does not contain the image data characteristically compared with normal TIFF IFD.
Exif.Photo.FlashEnergy	Indicates the strobe energy at the time the image is captured, as measured in Beam Candle Power Seconds (BCPS).
Exif.Photo.SpatialFrequencyResponse	This tag records the camera or input device spatial frequency table and SFR values in the direction of image width, image height, and diagonal direction, as specified in ISO 12233.
Exif.Photo.FocalPlaneXResolution	Indicates the number of pixels in the image width (X) direction per <FocalPlaneResolutionUnit> on the camera focal plane.
Exif.Photo.FocalPlaneYResolution	Indicates the number of pixels in the image height (V) direction per <FocalPlaneResolutionUnit> on the camera focal plane.
Exif.Photo.FocalPlaneResolutionUnit	Indicates the unit for measuring <FocalPlaneXResolution> and <FocalPlaneYResolution>. This value is the same as the <ResolutionUnit>.
Exif.Photo.SubjectLocation	Indicates the location of the main subject in the scene. The value of this tag represents the pixel at the center of the main subject relative to the left edge, prior to rotation processing as per the <Rotation> tag. The first value indicates the X column number and second indicates the Y row number.
Exif.Photo.ExposureIndex	Indicates the exposure index selected on the camera or input device at the time the image is captured.
Exif.Photo.SensingMethod	Indicates the image sensor type on the camera or input device.
Exif.Photo.FileSource	Indicates the image source. If a DSC recorded the image, this tag value of this tag always be set to 3, indicating that the image was recorded on a DSC.
Exif.Photo.SceneType	Indicates the type of scene. If a DSC recorded the image, this tag value must always be set to 1, indicating that the image was directly photographed.
Exif.Photo.CFAPattern	Indicates the color filter array (CFA) geometric pattern of the image sensor when a one-chip color area sensor is used. It does not apply to all sensing methods.
Exif.Photo.CustomRendered	This tag indicates the use of special processing on image data, such as rendering geared to output. When special processing is performed, the reader is expected to disable or minimize any further processing.
Exif.Photo.ExposureMode	This tag indicates the exposure mode set when the image was shot. In auto-bracketing mode, the camera shoots a series of frames of the same scene at different exposure settings.
Exif.Photo.WhiteBalance	This tag indicates the white balance mode set when the image was shot.
Exif.Photo.DigitalZoomRatio	This tag indicates the digital zoom ratio when the image was shot. If the numerator of the recorded value is 0, this indicates that digital zoom was not used.
Exif.Photo.FocalLengthIn35mmFilm	This tag indicates the equivalent focal length assuming a 35mm film camera, in mm. A value of 0 means the focal length is unknown. Note that this tag differs from the <FocalLength> tag.
Exif.Photo.SceneCaptureType	This tag indicates the type of scene that was shot. It can also be used to record the mode in which the image was shot. Note that this differs from the <SceneType> tag.
Exif.Photo.GainControl	This tag indicates the degree of overall image gain adjustment.
Exif.Photo.Contrast	This tag indicates the direction of contrast processing applied by the camera when the image was shot.
Exif.Photo.Saturation	This tag indicates the direction of saturation processing applied by the camera when the image was shot.
Exif.Photo.Sharpness	This tag indicates the direction of sharpness processing applied by the camera when the image was shot.
Exif.Photo.DeviceSettingDescription	This tag indicates information on the picture-taking conditions of a particular camera model. The tag is used only to indicate the picture-taking conditions in the reader.
Exif.Photo.SubjectDistanceRange	This tag indicates the distance to the subject.
Exif.Photo.ImageUniqueID	This tag indicates an identifier assigned uniquely to each image. It is recorded as an ASCII string equivalent to hexadecimal notation and 128-bit fixed length.
Exif.Photo.CameraOwnerName	This tag records the owner of a camera used in photography as an ASCII string.
Exif.Photo.BodySerialNumber	This tag records the serial number of the body of the camera that was used in photography as an ASCII string.
Exif.Photo.LensSpecification	This tag notes minimum focal length, maximum focal length, minimum F number in the minimum focal length, and minimum F number in the maximum focal length, which are specification information for the lens that was used in photography. When the minimum F number is unknown, the notation is 0/0
Exif.Photo.LensMake	This tag records the lens manufactor as an ASCII string.
Exif.Photo.LensModel	This tag records the lens's model name and model number as an ASCII string.
Exif.Photo.LensSerialNumber	This tag records the serial number of the interchangeable lens that was used in photography as an ASCII string.
Exif.Iop.InteroperabilityIndex	Indicates the identification of the Interoperability rule. Use 'R98' for stating ExifR98 Rules. Four bytes used including the termination code (NULL). see the separate volume of Recommended Exif Interoperability Rules (ExifR98) for other tags used for ExifR98.
Exif.Iop.InteroperabilityVersion	Interoperability version
Exif.Iop.RelatedImageFileFormat	File format of image file
Exif.Iop.RelatedImageWidth	Image width
Exif.Iop.RelatedImageLength	Image height
Exif.GPSInfo.GPSVersionID	Indicates the version of <GPSInfoIFD>. The version is given as 2.0.0.0. This tag is mandatory when <GPSInfo> tag is present. (Note: The <GPSVersionID> tag is given in bytes, unlike the <ExifVersion> tag. When the version is 2.0.0.0, the tag value is 02000000.H).
Exif.GPSInfo.GPSLatitudeRef	Indicates whether the latitude is north or south latitude. The ASCII value 'N' indicates north latitude, and 'S' is south latitude.
Exif.GPSInfo.GPSLatitude	Indicates the latitude. The latitude is expressed as three RATIONAL values giving the degrees, minutes, and seconds, respectively. When degrees, minutes and seconds are expressed, the format is dd/1,mm/1,ss/1. When degrees and minutes are used and, for example, fractions of minutes are given up to two decimal places, the format is dd/1,mmmm/100,0/1.
Exif.GPSInfo.GPSLongitudeRef	Indicates whether the longitude is east or west longitude. ASCII 'E' indicates east longitude, and 'W' is west longitude.
Exif.GPSInfo.GPSLongitude	Indicates the longitude. The longitude is expressed as three RATIONAL values giving the degrees, minutes, and seconds, respectively. When degrees, minutes and seconds are expressed, the format is ddd/1,mm/1,ss/1. When degrees and minutes are used and, for example, fractions of minutes are given up to two decimal places, the format is ddd/1,mmmm/100,0/1.
Exif.GPSInfo.GPSAltitudeRef	Indicates the altitude used as the reference altitude. If the reference is sea level and the altitude is above sea level, 0 is given. If the altitude is below sea level, a value of 1 is given and the altitude is indicated as an absolute value in the GSPAltitude tag. The reference unit is meters. Note that this tag is BYTE type, unlike other reference tags.
Exif.GPSInfo.GPSAltitude	Indicates the altitude based on the reference in GPSAltitudeRef. Altitude is expressed as one RATIONAL value. The reference unit is meters.
Exif.GPSInfo.GPSTimeStamp	Indicates the time as UTC (Coordinated Universal Time). <TimeStamp> is expressed as three RATIONAL values giving the hour, minute, and second (atomic clock).
Exif.GPSInfo.GPSSatellites	Indicates the GPS satellites used for measurements. This tag can be used to describe the number of satellites, their ID number, angle of elevation, azimuth, SNR and other information in ASCII notation. The format is not specified. If the GPS receiver is incapable of taking measurements, value of the tag is set to NULL.
Exif.GPSInfo.GPSStatus	Indicates the status of the GPS receiver when the image is recorded. 'A' means measurement is in progress, and 'V' means the measurement is Interoperability.
Exif.GPSInfo.GPSMeasureMode	Indicates the GPS measurement mode. '2' means two-dimensional measurement and '3' means three-dimensional measurement is in progress.
Exif.GPSInfo.GPSDOP	Indicates the GPS DOP (data degree of precision). An HDOP value is written during two-dimensional measurement, and PDOP during three-dimensional measurement.
Exif.GPSInfo.GPSSpeedRef	Indicates the unit used to express the GPS receiver speed of movement. 'K' 'M' and 'N' represents kilometers per hour, miles per hour, and knots.
Exif.GPSInfo.GPSSpeed	Indicates the speed of GPS receiver movement.
Exif.GPSInfo.GPSTrackRef	Indicates the reference for giving the direction of GPS receiver movement. 'T' denotes true direction and 'M' is magnetic direction.
Exif.GPSInfo.GPSTrack	Indicates the direction of GPS receiver movement. The range of values is from 0.00 to 359.99.
Exif.GPSInfo.GPSImgDirectionRef	Indicates the reference for giving the direction of the image when it is captured. 'T' denotes true direction and 'M' is magnetic direction.
Exif.GPSInfo.GPSImgDirection	Indicates the direction of the image when it was captured. The range of values is from 0.00 to 359.99.
Exif.GPSInfo.GPSMapDatum	Indicates the geodetic survey data used by the GPS receiver. If the survey data is restricted to Japan, the value of this tag is 'TOKYO' or 'WGS-84'.
Exif.GPSInfo.GPSDestLatitudeRef	Indicates whether the latitude of the destination point is north or south latitude. The ASCII value 'N' indicates north latitude, and 'S' is south latitude.
Exif.GPSInfo.GPSDestLatitude	Indicates the latitude of the destination point. The latitude is expressed as three RATIONAL values giving the degrees, minutes, and seconds, respectively. If latitude is expressed as degrees, minutes and seconds, a typical format would be dd/1,mm/1,ss/1. When degrees and minutes are used and, for example, fractions of minutes are given up to two decimal places, the format would be dd/1,mmmm/100,0/1.
Exif.GPSInfo.GPSDestLongitudeRef	Indicates whether the longitude of the destination point is east or west longitude. ASCII 'E' indicates east longitude, and 'W' is west longitude.
Exif.GPSInfo.GPSDestLongitude	Indicates the longitude of the destination point. The longitude is expressed as three RATIONAL values giving the degrees, minutes, and seconds, respectively. If longitude is expressed as degrees, minutes and seconds, a typical format would be ddd/1,mm/1,ss/1. When degrees and minutes are used and, for example, fractions of minutes are given up to two decimal places, the format would be ddd/1,mmmm/100,0/1.
Exif.GPSInfo.GPSDestBearingRef	Indicates the reference used for giving the bearing to the destination point. 'T' denotes true direction and 'M' is magnetic direction.
Exif.GPSInfo.GPSDestBearing	Indicates the bearing to the destination point. The range of values is from 0.00 to 359.99.
Exif.GPSInfo.GPSDestDistanceRef	Indicates the unit used to express the distance to the destination point. 'K', 'M' and 'N' represent kilometers, miles and knots.
Exif.GPSInfo.GPSDestDistance	Indicates the distance to the destination point.
Exif.GPSInfo.GPSProcessingMethod	A character string recording the name of the method used for location finding. The first byte indicates the character code used, and this is followed by the name of the method.
Exif.GPSInfo.GPSAreaInformation	A character string recording the name of the GPS area. The first byte indicates the character code used, and this is followed by the name of the GPS area.
Exif.GPSInfo.GPSDateStamp	A character string recording date and time information relative to UTC (Coordinated Universal Time). The format is 'YYYY:MM:DD.'.
Exif.GPSInfo.GPSDifferential	Indicates whether differential correction is applied to the GPS receiver.
